,responseid,group,start_date,quiz_start,end_date,quiz_time,age,already_know,nihss_form,nihss_elearning,neuro_work,our_module,score_all,q_base_1_score,q_base_2_score,q_base_3_score,q_base_4_score,q_base_5_score,con_glob_p1_score,con_quest_p1_score,con_con_p1_score,ocul_p1_score,vis_p1_score,fac_p1_score,mot_arm_l_p1_score,mot_arm_r_p1_score,mot_leg_l_p1_score,mot_leg_r_p1_score,atax_p1_score,sens_p1_score,lang_p1_score,dysart_p1_score,exinct_p1_score,con_glob_p2_score,con_quest_p2_score,con_con_p2_score,ocul_p2_score,vis_p2_score,fac_p2_score,mot_arm_l_p2_score,mot_arm_r_p2_score,mot_leg_l_p2_score,mot_leg_r_p2_score,atax_p2_score,sens_p2_score,lang_p2_score,dysart_p2_score,exinct_p2_score,con_glob_p3_score,con_quest_p3_score,con_con_p3_score,ocul_p3_score,vis_p3_score,fac_p3_score,mot_arm_l_p3_score,mot_arm_r_p3_score,mot_leg_l_p3_score,mot_leg_r_p3_score,atax_p3_score,sens_p3_score,lang_p3_score,dysart_p3_score,exinct_p3_score,length,satisfaction,recommend,difficulty
60,162,E-Learning,2020-06-06 10:33:22.688,2020-06-06 14:33:58.999,2020-06-06 15:37:01.696,61.0,23.0,Non,Non,,Non,,37,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,Adéquate,Très satisfait,"Oui, très probablement",Facile
61,91,Video,2020-05-12 11:22:30.784,2020-05-12 14:00:45.000,2020-05-12 14:26:00.832,24.0,23.0,Non,Non,,Non,,36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,Adéquate,Satisfait,"Oui, très probablement",Neutre / sans opinion
62,45,E-Learning,2020-04-30 13:38:17.728,2020-05-09 16:14:41.999,2020-05-09 17:04:28.672,42.0,21.0,Non,Non,,Non,,42,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,Adéquate,Très satisfait,"Oui, très probablement",Facile
63,149,Video,2020-05-22 14:22:05.312,2020-05-22 15:07:43.000,,72.0,23.0,Non,Non,,Non,,30,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,,,,
64,165,Video,2020-06-07 13:29:55.968,2020-06-07 14:16:46.999,2020-06-07 14:44:12.416,22.0,24.0,Non,Non,,Non,,35,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,Adéquate,Satisfait,Plutôt oui,Neutre / sans opinion
65,56,E-Learning,2020-05-04 08:15:35.936,2020-05-06 11:37:47.999,2020-05-06 12:30:24.256,38.0,26.0,Non,Non,,Non,,37,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,Adéquate,Très satisfait,"Oui, très probablement",Facile
66,160,E-Learning,2020-06-04 13:31:06.624,2020-06-04 14:40:42.000,2020-06-04 15:20:20.224,33.0,23.0,Non,Non,,Non,,39,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,Adéquate,Satisfait,"Oui, très probablement",Neutre / sans opinion
67,94,E-Learning,2020-05-12 12:19:18.656,2020-05-12 14:10:21.000,2020-05-12 14:47:51.552,33.0,24.0,Non,Non,,Non,,42,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,Adéquate,Satisfait,"Oui, très probablement",Neutre / sans opinion
68,70,E-Learning,2020-05-08 16:51:45.792,2020-05-09 09:42:46.000,2020-05-09 10:24:42.496,35.0,23.0,Non,Non,,Non,,35,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,Adéquate,Très satisfait,"Oui, très probablement",Neutre / sans opinion
69,143,E-Learning,2020-05-22 08:30:22.720,2020-05-22 11:03:30.999,2020-05-22 13:47:08.160,156.0,33.0,Non,Non,,Non,,41,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,Adéquate,Très satisfait,"Oui, très probablement",Neutre / sans opinion
70,30,Video,2020-04-29 11:07:57.312,2020-04-29 13:17:46.000,2020-04-29 13:49:36.640,26.0,24.0,Non,Non,,Non,,40,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,Adéquate,Neutre / sans opinion,Plutôt oui,Neutre / sans opinion
71,41,E-Learning,2020-04-30 08:39:00.864,2020-05-03 16:00:44.000,2020-05-04 12:42:06.720,41.0,24.0,Non,Non,,Non,,40,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,Adéquate,Satisfait,"Oui, très probablement",Difficile
72,26,E-Learning,2020-04-29 09:12:10.496,2020-05-20 11:16:54.999,2020-05-20 12:22:43.456,42.0,22.0,Non,Non,,Non,,41,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,Adéquate,Satisfait,"Oui, très probablement",Facile
73,27,Video,2020-04-29 09:14:21.568,2020-04-29 11:45:42.000,,54.0,23.0,Non,Non,,Non,,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,,,,
74,141,Video,2020-05-21 13:27:52.064,2020-05-22 10:00:55.000,,32.0,23.0,Non,Non,,Non,,33,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,,,,
